;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;
;1995;1995;1995;1995;1996;1996;1996;1996;1997;1997;1997;1997;1998;1998;1998;1998;1999;1999;1999;1999;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;
;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
Силистра;9.5;11.0;11.4;13.0;14.0;15.1;21.0;68.5;177.1;203.6;251.8;239.1;217.1;215.0;191.5;186.0;216.8;196.9;187.1;186.9;175.0;154.7;147.0;157.5;172.7;173.7;171.0;164.8;162.8;161.5;173.0;170.7;171.5;170.9;186.3;191.3;199.3;228.0;241.8;286.7;389.8;411.0;407.8;417.5;431.2;450.3;474.5;490.7;568.3;616.0;671.0;705.8;698.8;715.8;763.3;782.6;685.5;618.8;626.2;667.4;682.6;684.0;694.0;672.2;668.2;655.4;653.8;672.5;655.8;643.0;634.6;632.7;630.8;633.6;622.8;615.5;619.4;630.8;632.0;637.7;
Сливен;8.8;10.3;13.0;13.4;14.5;20.3;30.4;68.2;247.6;260.8;285.8;317.3;285.6;306.6;264.3;281.3;311.9;297.9;299.2;286.6;275.7;272.0;263.7;272.5;249.7;258.0;247.7;261.2;266.0;253.0;253.5;245.2;233.7;246.5;260.2;278.5;332.2;393.3;451.0;511.7;582.0;622.3;628.8;639.7;635.2;656.5;678.2;711.0;744.8;794.2;852.0;897.7;952.2;1011.5;1075.0;1035.8;983.0;902.5;849.5;806.0;784.5;762.3;754.8;737.2;735.9;730.0;713.0;697.3;681.6;668.9;652.7;635.8;618.3;613.0;615.3;607.5;601.7;589.1;583.9;582.8;
Смолян;6.9;9.5;9.1;9.7;11.2;11.4;24.6;69.4;157.2;156.6;156.6;211.1;258.1;278.8;240.4;300.7;306.6;300.7;240.6;265.6;278.0;266.0;290.3;249.3;181.3;200.0;231.5;254.5;224.0;211.6;228.8;228.2;226.0;211.5;210.7;226.2;244.0;255.3;374.3;374.8;414.2;553.0;521.7;542.2;620.6;677.7;760.3;790.1;800.6;869.2;802.6;885.7;872.3;982.9;1085.3;1039.3;910.4;821.9;780.9;765.9;745.7;766.6;772.2;771.7;742.2;731.7;697.0;684.8;679.2;668.0;668.4;662.2;656.6;656.2;655.2;647.5;633.8;635.9;635.5;634.5;
София (столица);30.2;23.8;26.8;29.4;30.4;50.5;76.6;177.9;563.1;460.1;439.4;461.1;488.9;506.3;508.6;513.4;502.3;547.4;550.6;592.5;580.8;577.8;572.0;583.8;633.2;584.7;603.8;581.2;585.2;675.2;711.7;723.0;727.8;791.5;848.7;875.7;900.0;1012.0;1061.5;1094.8;1159.5;1188.0;1256.8;1285.2;1313.7;1322.7;1341.0;1389.8;1588.0;1647.8;1904.8;2112.0;2163.2;2312.5;2470.0;2373.8;1980.0;1745.0;1640.3;1585.2;1558.3;1558.3;1592.6;1566.0;1496.8;1465.8;1456.5;1453.3;1465.3;1457.4;1447.3;1440.5;1422.3;1435.2;1444.8;1456.8;1463.2;1473.7;1485.7;1501.7;
София;9.3;12.2;15.1;11.8;10.9;15.8;24.0;41.9;102.0;106.6;139.1;181.5;216.0;210.3;249.7;236.5;273.8;229.5;209.8;244.7;215.0;215.0;162.5;162.5;150.0;173.0;257.3;245.0;209.4;185.5;168.8;176.4;193.2;185.8;190.0;200.8;216.5;294.3;312.3;333.8;375.2;384.8;384.5;404.0;407.0;409.0;412.8;418.0;420.3;457.7;491.9;582.7;677.8;714.3;750.0;744.5;652.1;588.7;592.0;646.1;700.7;713.3;723.5;725.3;728.6;729.0;728.3;701.1;705.9;697.0;695.9;699.0;696.2;693.3;692.7;687.6;683.7;679.0;675.1;675.9;
Стара Загора;10.8;11.4;13.2;14.1;15.9;20.0;25.9;101.7;270.0;262.0;255.4;299.2;265.6;294.9;252.0;271.6;265.7;272.1;273.5;259.5;246.7;282.2;297.2;286.5;256.5;270.2;298.5;303.7;313.2;315.5;323.7;323.7;325.3;299.3;337.5;360.7;498.7;661.5;732.8;756.2;780.7;785.8;769.3;766.7;836.5;851.5;914.5;1055.8;1059.7;1122.7;1148.7;1248.0;1376.5;1500.2;1449.2;1335.5;1150.8;1028.7;985.3;937.8;899.8;890.8;901.2;903.5;921.1;880.8;860.7;889.9;875.0;887.3;899.5;876.7;871.8;874.3;868.7;867.0;878.7;888.7;895.9;908.7;
Добрич;8.5;10.8;12.6;12.9;13.4;17.3;24.2;54.3;189.7;171.8;239.8;293.3;306.5;233.0;266.4;262.6;287.5;211.5;241.5;214.5;219.5;227.7;223.2;250.2;227.5;227.3;210.4;223.2;210.0;210.3;182.2;211.6;217.8;223.5;231.4;240.8;242.3;249.2;303.3;407.3;467.0;461.8;492.2;521.3;551.7;556.8;606.3;642.7;704.7;725.7;745.5;799.2;855.3;890.3;969.5;940.2;916.7;844.5;837.1;795.7;801.7;814.5;781.7;748.8;719.5;705.3;706.7;691.9;671.3;671.6;672.4;669.2;660.6;664.8;645.5;647.2;649.6;645.1;633.6;638.5;
Търговище;8.5;7.4;8.9;9.7;10.6;12.2;16.9;37.7;46.7;135.1;142.9;136.3;136.3;177.1;178.4;170.0;177.4;189.7;183.5;187.4;167.5;169.0;160.7;158.7;159.3;165.0;164.5;180.0;177.3;188.0;204.3;250.0;258.0;247.3;248.7;250.5;315.2;312.5;312.5;415.3;428.8;493.9;503.5;529.3;512.2;546.1;589.0;696.8;810.6;810.6;844.1;916.5;937.3;910.5;915.7;813.3;712.4;665.3;661.3;707.2;674.3;704.9;654.1;658.7;638.9;644.5;628.2;631.8;637.6;660.0;656.7;654.3;652.6;650.4;654.1;656.8;662.3;653.1;652.0;651.0;
Хасково;11.7;12.3;13.0;14.5;14.9;22.8;32.4;68.9;125.7;154.2;182.2;216.9;300.3;345.0;333.7;303.7;286.8;290.8;290.8;300.7;315.4;326.3;341.3;334.8;334.8;334.8;314.5;298.5;279.0;261.5;264.2;249.0;244.5;252.8;271.3;279.5;307.3;374.8;396.5;480.0;531.7;565.7;628.0;647.7;693.3;708.2;775.3;785.7;826.5;902.3;966.8;995.2;1060.7;1084.2;1091.0;986.7;898.3;890.7;896.2;916.7;901.7;923.1;869.8;858.8;855.2;842.3;855.7;840.2;840.2;807.1;807.3;787.6;793.7;778.0;777.4;773.0;760.9;766.7;761.5;753.5;
Шумен;13.2;12.3;13.1;13.5;14.1;16.3;26.1;41.8;158.8;181.0;201.8;222.4;268.3;254.1;272.3;240.5;246.1;249.0;226.3;208.9;212.3;214.7;228.2;227.5;222.5;230.3;213.7;192.7;209.5;197.3;213.7;204.3;221.7;225.0;253.0;271.5;285.1;314.3;382.2;417.2;542.5;577.0;578.8;620.3;648.5;653.2;678.3;723.8;807.5;811.2;824.8;834.3;956.2;1078.0;995.5;990.7;967.9;955.6;860.1;888.8;881.0;812.6;767.2;754.6;694.7;689.9;684.9;662.5;667.8;683.4;700.0;698.9;689.4;681.6;686.4;685.7;691.3;703.8;709.6;714.3;
Ямбол;11.2;13.0;14.0;11.5;12.3;18.7;36.7;74.5;210.0;221.0;223.5;267.2;269.2;240.9;242.7;291.0;270.6;276.0;208.2;223.9;204.3;214.3;233.0;201.7;202.8;200.8;182.4;187.3;187.5;172.7;165.7;175.0;191.5;199.3;185.3;200.8;232.5;277.3;297.6;385.9;454.8;520.7;529.5;549.3;554.7;596.3;584.5;629.3;645.2;670.8;690.2;727.7;851.2;892.2;920.7;862.0;784.9;781.4;720.6;787.8;721.9;723.0;700.4;703.4;709.0;685.9;657.0;624.5;624.0;627.0;622.3;619.0;610.7;610.0;610.2;608.6;602.6;599.3;597.5;594.7;
