freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,RCH_A_AVG,AT	: 	-0.2 e	-0.9 e	-3.0 e	-4.3 e	8.7 e	-0.6 e	-0.6 e	-1.9 e	-0.1 e	0.7 	4.0 	2.5 	5.6 	2.0 	4.1 	3.9 	2.9 	2.7 	3.9 	6.9 	5.6 	3.9 	-8.7 
A,RCH_A_AVG,BE	: 	0.4 e	4.5 e	4.9 e	6.1 e	9.5 	5.0 	3.3 	-0.8 	-1.4 	1.4 	1.2 	0.1 	0.6 	-1.4 	1.1 	-0.1 	0.3 	0.0 	0.2 	2.9 	1.0 	-2.4 	-4.5 
A,RCH_A_AVG,BG	: 	: de	-14.8 de	2.7 de	34.3 de	19.8 de	2.9 de	9.3 de	4.0 de	-25.1 de	-15.1 d	-12.3 d	-8.3 d	-10.4 d	-4.9 d	-4.9 bd	-1.9 d	-3.3 d	-4.9 d	-3.7 d	-0.7 d	-3.9 d	-1.4 bd	-4.8 d
A,RCH_A_AVG,CY	: 	: 	: e	-7.8 e	0.6 e	-2.0 	5.4 	6.5 	-4.1 	-5.7 	-5.7 	-1.6 	0.9 	-0.4 	5.3 	-2.4 b	-3.6 	-2.6 	-3.4 	-5.2 	-2.0 	-11.0 	-7.7 	-1.1 
A,RCH_A_AVG,CZ	: 	1.8 e	6.2 e	5.1 e	-4.8 e	-2.1 e	0.5 e	13.0 e	4.6 	-4.2 	-4.3 	-1.1 	-2.6 	-0.2 	-1.4 	0.9 	3.1 	3.7 	1.0 	2.1 	2.0 	9.1 	7.1 	-7.6 
A,RCH_A_AVG,DE	: 	-3.9 e	-2.5 e	-2.3 e	-3.1 e	-1.0 	-2.9 	-4.6 	-1.4 	0.0 	-1.5 	0.3 	1.4 	1.3 	0.5 	2.2 	4.7 	2.9 	2.9 	2.8 	6.2 	7.1 	-2.1 	-13.0 
A,RCH_A_AVG,DK	: 	0.3 e	-1.0 e	-0.1 e	5.2 e	13.9 	18.7 	1.3 	-7.8 	-15.3 	-1.3 	-3.9 	-4.0 	3.4 	2.9 	3.6 	1.3 	2.7 	1.7 	0.3 	3.4 	7.5 	-1.0 	-7.3 
A,RCH_A_AVG,EA20	: 	: 	: 	: 	: 	: 	3.0 	1.1 	-1.6 	-3.2 	-0.2 	-0.4 	-1.9 	-2.5 	-1.1 	-0.5 	1.7 	1.7 	1.8 	1.3 	4.4 	2.6 	0.7 	-7.1 
A,RCH_A_AVG,EE	: 	: 	: 	: 	: 	: 	24.9 	3.1 	-21.9 	-32.0 	6.5 	0.3 	2.9 	1.1 	9.0 	-0.3 	-0.1 	-1.8 	-5.7 	0.6 	3.8 	5.8 	8.2 	0.2 
A,RCH_A_AVG,EL	: 	8.0 e	4.9 e	-4.0 e	-4.2 e	7.9 e	4.3 e	-0.6 e	-5.5 e	-5.0 e	4.2 e	5.2 e	-0.1 e	-4.4 e	-8.6 e	-4.4 e	-2.0 e	-2.8 e	2.6 e	-0.1 e	7.9 e	-2.4 e	5.0 e	5.0 ep
A,RCH_A_AVG,ES	: 	2.6 e	10.3 e	11.2 e	11.7 e	5.8 e	10.4 	5.8 	-5.5 	-6.4 	-1.7 	-7.6 	-9.9 	-8.9 	-0.2 	-0.7 	2.1 	3.3 	4.0 	0.9 	3.7 	-1.4 	3.0 	-4.3 
A,RCH_A_AVG,EU27_2020	: 	: 	: 	: 	: 	: 	5.1 	4.1 	-2.6 	-3.1 	-1.6 	-1.4 	-2.3 	-2.3 	-0.7 	0.2 	1.7 	1.6 	1.9 	1.4 	4.3 	2.6 	1.1 	-6.5 
A,RCH_A_AVG,FI	: 	-5.4 e	1.6 e	1.5 e	3.0 e	5.2 	3.1 	0.5 	-4.7 	-1.0 	2.5 	-0.8 	-0.4 	-0.6 	-1.1 	-1.8 b	0.1 	-0.6 	-2.3 	-3.1 	0.5 	0.9 	-2.7 	-10.7 
A,RCH_A_AVG,FR	: 	3.4 	4.4 	9.1 	11.3 	11.9 	7.0 	2.0 	-1.8 	-6.5 	2.2 	4.0 	-1.4 	-1.5 	-2.6 	-2.1 	-0.3 	0.9 	0.9 	0.7 	4.0 	1.1 	1.7 	-6.7 
A,RCH_A_AVG,HR	: 	-4.5 e	-2.2 e	-1.8 e	3.8 e	5.8 e	12.5 e	3.6 e	-2.2 	-6.5 	-6.4 	-0.7 	-0.9 	-4.4 	-2.0 	-5.5 	-2.1 	-0.7 	-0.2 	1.9 	4.2 	-1.3 	2.4 	-1.8 
A,RCH_A_AVG,HU	: 	: 	: 	: 	: 	: 	: 	: 	-1.6 	-5.2 	-5.2 	-9.2 	-5.8 	-5.8 	-0.9 	7.6 	7.1 	2.2 	2.9 	5.6 	0.8 	2.4 	2.8 	-7.9 p
A,RCH_A_AVG,IE	: 	1.3 e	-2.4 e	7.4 e	5.0 e	2.1 	9.4 	2.0 	-10.4 	-13.0 	-9.5 	-16.3 	-14.5 	2.6 	14.9 	7.1 	3.7 	5.6 	6.6 	-3.3 	-4.1 	3.4 	5.1 	-5.4 
A,RCH_A_AVG,IT	: 	0.8 e	7.6 e	2.9 e	2.9 e	4.4 e	2.4 e	2.2 e	1.5 e	1.7 e	1.7 	-0.2 	0.5 	-6.5 	-5.4 	-5.0 	-1.2 	-3.3 	-2.3 	-1.0 	3.0 	-2.9 	-2.4 	-3.2 
A,RCH_A_AVG,LT	: 	7.3 e	-1.4 e	1.0 e	-3.2 e	-4.7 e	25.7 	12.6 	-11.3 	-24.9 	-8.1 	0.0 	-3.6 	-4.8 	3.0 	-1.4 	-2.9 	5.9 	-1.3 	-3.2 	-2.2 	4.5 	5.5 	-0.1 
