freq,purchase,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 
Q,DW_EXST,I10_Q,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.00 	100.20 	100.80 	100.10 	99.40 	101.70 	101.00 	99.60 	98.70 	97.30 	95.00 	92.10 	88.90 	88.60 	86.90 	85.60 	84.40 	83.40 	82.20 	80.60 	78.80 	79.00 	79.20 	78.60 	78.60 	79.30 	79.40 	78.60 	78.20 	78.50 	78.10 	77.40 	77.40 	77.80 	77.10 	76.80 	76.30 	77.60 	77.20 	76.80 	77.80 	80.30 	77.70 	77.90 	78.70 	80.30 	80.90 	80.80 	82.20 	83.40 	83.20 	82.70 	82.50 	84.00 	83.60 	82.90 	83.10 	85.50 p
Q,DW_EXST,I10_Q,LT	: 	: 	: 	: 	100.14 	101.33 	109.93 	120.92 	132.93 	141.60 	151.00 	152.63 	153.75 	158.24 	156.15 	140.33 	111.12 	103.44 	102.30 	101.25 	97.15 	100.86 	100.15 	101.84 	105.79 	105.39 	105.96 	106.55 	104.64 	104.62 	103.61 	103.16 	104.38 	106.93 	105.33 	108.45 	110.16 	114.18 	116.38 	113.38 	113.51 	117.94 	119.56 	118.31 	119.51 	123.89 	126.91 	129.36 	131.22 	135.28 	137.89 	138.05 	141.48 	145.26 	146.43 	147.74 	151.80 	155.30 	157.05 	157.68 	162.57 	167.00 	167.28 	172.97 	183.36 	190.45 	200.33 	210.41 	220.06 	232.09 	238.03 	237.86 	240.77 	246.80 	249.72 	254.21 	261.86 	269.54 
Q,DW_EXST,I10_Q,LU	: 	: 	: 	: 	: 	: 	: 	: 	94.89 	94.99 	99.04 	97.06 	96.06 	99.14 	99.01 	97.57 	93.37 	95.00 	93.47 	95.91 	100.07 	98.67 	99.34 	101.92 	102.33 	105.15 	103.01 	108.77 	106.86 	108.61 	108.55 	111.76 	111.08 	112.61 	112.86 	113.72 	115.92 	118.43 	118.91 	120.09 	120.82 	123.20 	124.35 	123.66 	126.52 	128.89 	132.88 	134.30 	135.54 	138.92 	138.57 	139.29 	144.32 	147.01 	149.35 	154.60 	157.72 	163.74 	168.46 	170.00 	176.52 	185.08 	194.78 	200.47 	209.06 	211.85 	222.62 	226.42 	232.32 	238.99 	240.21 	235.36 	226.76 	217.82 	201.56 	195.75 	196.36 	196.65 p
Q,DW_EXST,I10_Q,LV	: 	: 	: 	: 	110.33 	123.41 	137.10 	150.83 	169.16 	177.74 	189.54 	183.28 	198.84 	193.78 	180.80 	150.47 	124.34 	114.09 	109.46 	108.09 	98.67 	98.34 	101.25 	101.74 	107.32 	107.20 	106.87 	102.73 	103.57 	106.62 	107.16 	109.83 	110.50 	116.29 	115.04 	117.14 	120.25 	121.61 	125.84 	115.54 	114.04 	118.80 	119.27 	120.75 	122.20 	128.41 	130.66 	131.81 	133.85 	142.06 	141.10 	141.75 	148.31 	154.52 	153.84 	159.16 	160.31 	167.14 	171.20 	171.99 	171.98 	166.86 	174.54 	174.16 	179.47 	193.17 	201.20 	210.13 	217.00 	225.88 	229.38 	222.86 	223.42 	232.19 	228.95 	217.44 	226.07 	227.49 p
Q,DW_EXST,I10_Q,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.50 	100.05 	116.83 	121.32 	111.87 	102.26 	107.61 	93.00 	97.17 	104.72 	103.91 	94.20 	97.26 	102.30 	103.62 	97.34 	101.78 	97.74 	111.68 	103.44 	104.83 	100.19 	112.81 	113.00 	109.86 	110.01 	108.54 	115.27 	106.94 	113.22 	119.75 	125.78 	115.29 	122.19 	127.54 	132.25 	123.62 	131.41 	132.24 	137.01 	131.42 	128.76 	143.63 	143.75 	137.09 	140.08 	145.17 	152.85 	147.74 	152.39 	154.48 	158.14 	149.60 	155.86 	158.77 	161.84 	163.44 	165.23 	166.72 	167.56 	172.39 	176.03 	178.65 p	180.88 p	184.85 p	188.54 p
Q,DW_EXST,I10_Q,NL	92.86 	93.88 	95.15 	95.66 	97.07 	98.21 	99.49 	100.00 	101.02 	102.30 	103.83 	104.21 	105.48 	105.61 	106.76 	105.87 	105.23 	102.55 	101.15 	100.38 	100.13 	100.26 	100.38 	99.23 	98.72 	98.21 	97.58 	95.79 	94.64 	92.86 	89.16 	88.52 	86.48 	84.69 	85.08 	84.82 	85.20 	85.84 	86.61 	86.61 	87.30 	88.01 	89.39 	90.01 	91.15 	92.38 	94.79 	95.93 	97.88 	99.89 	102.53 	104.28 	106.89 	109.07 	112.10 	113.82 	115.70 	117.14 	119.23 	120.91 	123.59 	126.16 	129.01 	131.50 	136.18 	142.36 	151.39 	157.14 	163.54 	168.16 	168.93 	164.53 	161.80 	159.11 	161.25 	164.05 	167.94 	172.79 
Q,DW_EXST,I10_Q,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.58 	101.16 	100.66 	100.59 	105.75 	108.68 	109.04 	108.61 	112.40 	115.71 	117.22 	116.69 	120.27 	122.67 	120.92 	117.25 	119.91 	124.21 	125.03 	124.89 	130.04 	133.51 	133.65 	131.69 	136.48 	142.07 	146.36 	147.63 	153.40 	154.35 	149.94 	147.09 	150.10 	155.54 	154.52 	151.43 	155.27 	158.99 	158.35 	155.58 	158.84 	163.34 	166.53 	168.02 	176.99 	183.17 	182.72 	180.12 	189.10 	194.71 	192.56 	185.05 	189.44 	195.92 	190.95 	185.43 	192.32 	199.69 
Q,DW_EXST,I10_Q,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.84 	100.92 	100.61 	99.63 	99.83 	100.92 	99.41 	98.19 	96.27 	95.61 	93.99 	92.30 	90.39 	90.68 	91.44 	91.57 	91.56 	92.88 	92.32 	92.08 	92.01 	93.20 	93.27 	92.78 	92.48 	94.80 	96.54 	96.90 	96.81 	99.27 	100.25 	101.40 	103.04 	106.02 	108.27 	110.23 	112.63 	116.00 	120.07 	123.41 	129.69 	133.83 	136.47 	137.15 	139.77 	144.87 	148.43 	153.90 	159.06 	164.71 	165.58 	166.74 	166.23 	171.47 	180.13 	186.05 	193.43 	198.95 
Q,DW_EXST,I10_Q,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.21 	101.80 	100.48 	98.16 	97.59 	99.11 	99.65 	100.45 	100.79 	101.07 	99.85 	98.29 	97.24 	94.93 	92.54 	88.80 	87.55 	86.17 	84.82 	85.75 	82.81 	83.53 	83.99 	86.31 	86.74 	88.18 	87.59 	88.72 	88.55 	91.18 	92.16 	93.23 	95.53 	98.89 	100.57 	101.81 	104.37 	107.74 	112.11 	113.85 	117.92 	121.31 	122.42 	124.69 	129.70 	132.53 	135.67 	138.27 	143.65 	146.31 	145.54 	149.38 	153.72 	158.14 	162.22 	167.21 	174.59 	181.34 	186.05 	188.39 	191.44 	197.63 	201.15 	203.73 	205.98 	214.07 
Q,DW_EXST,I10_Q,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111.05 	106.26 	105.52 	110.49 	103.33 	102.04 	98.71 	95.91 	91.37 	90.21 	83.49 	79.79 	82.60 	82.10 	78.89 	78.90 	82.20 	81.76 	79.82 	79.35 	79.88 	78.74 	78.10 	79.44 	82.52 	81.64 	80.62 	82.12 	84.57 	87.02 	86.73 	88.21 	90.33 	94.07 	93.07 	94.31 	96.39 	99.57 	98.57 	99.30 	99.72 	101.55 	102.94 	104.52 	108.34 	108.55 	105.64 	106.37 	109.94 	111.97 	112.99 	115.49 	117.06 	119.39 	117.12 	119.95 	118.87 	117.03 	119.79 	120.54 	121.45 	122.02 
